                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 2.3213,                 5.1049,                 2.3278,                0.00028,                0.03333,                0.00337,                0.00195,                 2.8746,                 4.4894,                 2.9225,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.6005,                 5.3264,                 2.6289,                0.00028,                0.03333,                0.00415,                0.00243,                 2.8633,                 4.5042,                  2.911,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.7264,                 5.4239,                 2.6212,                0.00028,                0.03333,                0.00415,                0.00243,                 2.8633,                 4.5042,                  2.911,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                  2.473,                 5.1071,                 2.5561,                0.00028,                0.03333,                0.00547,                0.00322,                 2.8597,                 4.5247,                 2.8961,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.6555,                 6.4601,                 2.5793,                0.00028,                0.03333,                0.00547,                0.00322,                 2.8597,                 4.5247,                 2.8961,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.1839,                 5.2981,                 2.3207,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8563,                 4.5238,                 2.8849,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.5717,                 5.3284,                 2.5709,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8563,                 4.5238,                 2.8849,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                  3.069,                 5.5385,                 2.8596,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8248,                 4.4781,                 2.8892,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.6018,                 5.3773,                  2.505,                0.00028,                0.03333,                0.00548,                0.00322,                 2.8248,                 4.4781,                 2.8892,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.5025,                 5.0126,                 2.4815,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8247,                 4.4315,                 2.8926,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.7855,                 5.4735,                 2.6174,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8247,                 4.4315,                 2.8926,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.8715,                 5.5387,                 2.5016,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8323,                 4.4154,                 2.8908,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.8176,                 5.1724,                  2.767,                0.00028,                0.03333,                0.00548,                0.00323,                 2.8323,                 4.4154,                 2.8908,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.5546,                 5.2567,                 2.6344,                0.00028,                0.03333,                0.00416,                0.00244,                 2.8408,                 4.4239,                 2.8828,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.5277,                 5.1119,                 2.5672,                0.00028,                0.03333,                0.00416,                0.00244,                 2.8408,                 4.4239,                 2.8828,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.5644,                 5.0411,                 2.5336,                0.00028,                0.03333,                0.00336,                0.00143,                 2.8492,                 4.4599,                 2.8679,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.8157,                  5.484,                 2.7992,                0.00028,                0.03333,                0.00336,                0.00143,                 2.8492,                 4.4599,                 2.8679,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.3881,                 5.2638,                  2.597,                0.00028,                0.03333,                0.00282,                0.00122,                 2.8589,                 4.5032,                 2.8566,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.4082,                 5.1517,                 2.4807,                0.00028,                0.03333,                0.00282,                0.00122,                 2.8589,                 4.5032,                 2.8566,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.4509,                 5.1317,                  2.435,                0.00028,                0.03333,                0.00338,                0.00153,                 2.8421,                  4.508,                 2.8585,             3.0048e-05,             3.0048e-05,             3.0048e-05
